error,0.cx,0.cy,0.r,1.cx,1.cy,1.r
0.38586693663200566,0.0,0.0,1.0,1.0,0.0,1.0
0.10263365224933996,0.0,0.0,1.0,1.1023494125284203,0.0,0.7087676097375517
0.03017181636588359,0.0,0.0,1.0,1.09442204332125,0.0,0.7904909443785085
0.013811871115101515,0.0,0.0,1.0,1.0995981102969299,0.0,0.7669150038359576
0.006697596336483813,0.0,0.0,1.0,1.1047401891526778,0.0,0.7766951064228113
0.0027313475930604014,0.0,0.0,1.0,1.1090339722803533,0.0,0.7734900453731839
0.002256522328859256,0.0,0.0,1.0,1.1100410668448377,0.0,0.7754292015632884
0.0007537226703787647,0.0,0.0,1.0,1.1114857588227773,0.0,0.7743467614392694
0.0007466424861371224,0.0,0.0,1.0,1.1117630102954985,0.0,0.7748822184905194
0.00023628942588896362,0.0,0.0,1.0,1.1122407957891525,0.0,0.7745237425172644
0.00024616641183855537,0.0,0.0,1.0,1.1123276507043416,0.0,0.7746916387563263
0.00007685604808929658,0.0,0.0,1.0,1.112485149188494,0.0,0.7745734148798338
0.00008111055317938654,0.0,0.0,1.0,1.112513393278128,0.0,0.774628028584731
0.000025240535427822897,0.0,0.0,1.0,1.1125652853333219,0.0,0.7745890705998825
0.000026723886082213877,0.0,0.0,1.0,1.1125745603595196,0.0,0.7746070068216526
8.309654853128068e-6,0.0,0.0,1.0,1.112591657173179,0.0,0.7745941707296233
8.804991250693783e-6,0.0,0.0,1.0,1.11259471060851,0.0,0.7746000757076503
2.7373793372864608e-6,0.0,0.0,1.0,1.1126003436360954,0.0,0.7745958464243053
2.901112621772617e-6,0.0,0.0,1.0,1.112601349495209,0.0,0.7745977916555643
9.018905659241572e-7,0.0,0.0,1.0,1.1126032054896684,0.0,0.7745963981651945
9.558799711761878e-7,0.0,0.0,1.0,1.1126035368914495,0.0,0.7745970390654043
2.971592774902998e-7,0.0,0.0,1.0,1.1126041484177847,0.0,0.7745965799273927
3.149513116418312e-7,0.0,0.0,1.0,1.1126042576095532,0.0,0.7745967910943523
9.791039937145918e-8,0.0,0.0,1.0,1.112604459100311,0.0,0.77459663981367
1.0377290460272803e-7,0.0,0.0,1.0,1.1126044950776717,0.0,0.7745967093906428
3.226037004200322e-8,0.0,0.0,1.0,1.112604561466599,0.0,0.7745966595453582
3.4192015496703476e-8,0.0,0.0,1.0,1.1126045733207315,0.0,0.774596682470185
1.0629432639630565e-8,0.0,0.0,1.0,1.1126045951951427,0.0,0.7745966660467185
1.1265889693357067e-8,0.0,0.0,1.0,1.1126045991009472,0.0,0.7745966736001937
3.502280382372547e-9,0.0,0.0,1.0,1.1126046063083228,0.0,0.7745966681888437
3.7119856632905623e-9,0.0,0.0,1.0,1.112604607595242,0.0,0.7745966706776302
1.1539625643930407e-9,0.0,0.0,1.0,1.1126046099699924,0.0,0.7745966688946504
1.2230584600647632e-9,0.0,0.0,1.0,1.1126046103940181,0.0,0.774596669714678
3.802179682210749e-10,0.0,0.0,1.0,1.1126046111764722,0.0,0.7745966691272057
4.0298417380846274e-10,0.0,0.0,1.0,1.112604611316184,0.0,0.7745966693973958
