error,0.cx,0.cy,0.r,1.cx,1.cy,1.rx,1.ry,2.cx,2.cy,2.rx,2.ry
0.5451431750551694,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
0.31839183388840026,0.0,0.0,1.0,1.078938110086859,0.0,0.7990658830537538,0.9584669568768982,0.22126286029355843,1.078938110086859,0.9584669568768982,0.7990658830537538
0.2274749039952277,0.0,0.0,1.0,0.997623681315867,0.0,0.7461134489307091,0.9469948952948192,0.29674041460814177,1.1254941916366321,0.8936969776793666,0.6315371947587
0.1509974325217148,0.0,0.0,1.0,1.025323689499363,0.0,0.6308678971114102,0.9258548431155257,0.3268772450340211,1.0279401404767103,0.8728680341770029,0.6321469877100071
0.1078484584459135,0.0,0.0,1.0,1.0244038457979774,0.0,0.6627639333007456,0.9656755490636486,0.3467269198263451,1.018126772213016,0.8214787224542541,0.558410666516294
0.04928874217736092,0.0,0.0,1.0,1.0257639540917518,0.0,0.6070133200930052,0.9625586775915439,0.38185925519279096,0.9992906340734584,0.8064120764807673,0.5307782303207362
0.04445105551112953,0.0,0.0,1.0,1.0260602612312568,0.0,0.5813003680446817,0.9614616812279858,0.39699816489148043,0.9910756419385321,0.7992543099731837,0.5173602257873534
0.0327583082840324,0.0,0.0,1.0,1.0370208629475401,0.0,0.601355748972812,0.980278086038554,0.3980238099623442,0.9819284992603791,0.7966066020021365,0.5171445964066701
0.03618297425009174,0.0,0.0,1.0,1.0277804530487393,0.0,0.6059077677716236,0.9899003643332841,0.4062221371392377,0.9692176552623448,0.802398046191663,0.5251950047151698
0.026591487187957695,0.0,0.0,1.0,1.0264504064585669,0.0,0.5864761831237876,0.9823686148664631,0.41636553525162934,0.9777189108337547,0.8064933570279651,0.5288689043114756
0.027451442774754316,0.0,0.0,1.0,1.0228199499615753,0.0,0.6016891292474983,0.9912226833875617,0.41637664645410816,0.9742611748410092,0.8044776597240044,0.5261385283788133
0.02573501246954,0.0,0.0,1.0,1.021836096425785,0.0,0.5868241545991558,0.9855753486919352,0.4240289084357921,0.9805122753370342,0.8075175244092379,0.5290630901769658
0.02328986753035553,0.0,0.0,1.0,1.0277719404258667,0.0,0.5986055533931228,0.9963606299058885,0.42459663526982777,0.9749077943972825,0.8059594770364237,0.5291309161138251
0.021614621495705904,0.0,0.0,1.0,1.0272580915152465,0.0,0.5867103485716211,0.9964092010281317,0.43225757073282145,0.970137623237443,0.8027302380578168,0.5234608157223569
0.01919897465667504,0.0,0.0,1.0,1.0163844834811164,0.0,0.5914830047092804,0.9959386513054509,0.4344596033731349,0.9742488590280651,0.8080760592988825,0.5295730972138307
0.01938300017033693,0.0,0.0,1.0,1.0237622790884102,0.0,0.5902898249472629,1.000945514287869,0.4376376477049,0.970847917147681,0.8025165678019709,0.5227090045855001
0.01648384424348928,0.0,0.0,1.0,1.0198562191357414,0.0,0.5899427577389266,1.0003004603195116,0.44064261228481316,0.9743703488096435,0.8094031068875422,0.532680851390668
0.015861061160257737,0.0,0.0,1.0,1.0261372419733816,0.0,0.5889703394306814,1.0046164596902738,0.4433852972541473,0.971428314068521,0.8045928537000364,0.5267816761514595
0.015127438694213968,0.0,0.0,1.0,1.0181380297944813,0.0,0.5924569666866668,1.004260691282771,0.4450236967707712,0.9743874558941761,0.8085126573315201,0.5312755194796801
0.015822996660505514,0.0,0.0,1.0,1.0245812203122497,0.0,0.5913230236055421,1.0057372388773675,0.44566646803888144,0.9736920870698957,0.802968784607896,0.5253157069432075
0.01414242450606601,0.0,0.0,1.0,1.0213782528455304,0.0,0.591026871564271,1.0052015428076924,0.44812500730657784,0.9765020706210596,0.8085905542739917,0.5334705549157495
0.014386028593281162,0.0,0.0,1.0,1.0273813992503145,0.0,0.5899706863230634,1.0065751697318353,0.44871900590546737,0.9758816531550152,0.8033960734385349,0.5278809685732317
0.013322946670752536,0.0,0.0,1.0,1.02012147724048,0.0,0.5931276841645137,1.0062457802033857,0.45020665501991336,0.9785366452561092,0.8069596809715561,0.531963412588922
0.013917110631375573,0.0,0.0,1.0,1.0258032593023372,0.0,0.5921080652310232,1.0075385799071064,0.45075935303264497,0.9779380495513611,0.8020775696134891,0.5267209856270618
0.011998362920336307,0.0,0.0,1.0,1.0238814448835656,0.0,0.5914925181079506,1.0044884648932708,0.4511097564852046,0.9826822454206084,0.8058659224511328,0.5333954788447777
0.01515560659108988,0.0,0.0,1.0,1.0236743732813585,0.0,0.5853577751219272,1.0046607886168284,0.4549723103764968,0.9800173138126269,0.8040531123877058,0.530652188799367
0.012194848022239076,0.0,0.0,1.0,1.0222252246983188,0.0,0.5945613206742304,1.0080760987576085,0.4534599425616628,0.9795673170684251,0.8016833505205762,0.5282079852543031
0.013575328173436062,0.0,0.0,1.0,1.0205033672815988,0.0,0.5940283767946688,1.005391785901469,0.45377805400160987,0.98367944046944,0.8050158525887584,0.5340645486254406
