error,0.cx,0.cy,0.rx,0.ry,0.t,1.cx,1.cy,1.rx,1.ry,1.t,2.cx,2.cy,2.rx,2.ry,2.t
0.34365977534944847,-0.52883823238194,0.0013806721001517865,1.0307445604459844,1.0475571209160217,0.000010586414932465027,-0.000039905404057567696,0.8633341794920024,0.9971610819430242,0.9964295000477682,-9.048591741551614e-10,0.5288781377859977,0.0013129804390956848,0.9402622913389156,0.9563547475274868,-0.000010443251245330069
0.3410676976195619,-0.5286632766743588,0.0006533065768914479,1.0319623585493738,1.048338239854684,0.000021566054912427805,-0.00004794993182558304,0.8648029117244735,0.9975965030246872,0.9961544454335293,5.509837455131271e-8,0.5287112266061844,0.0005716137298848805,0.9386578042214269,0.9544619251861551,-0.00002090904756838597
0.3376424304348415,-0.5295925745498049,0.0009934911943999824,1.0330326057688004,1.050240362850467,0.000020755112764249842,-0.00008191631224881596,0.8641765188819397,0.9971151493529663,0.9956617152665901,5.342333749135951e-8,0.5296744908620538,0.0008578219549101511,0.9369267867398979,0.9534541182273074,-0.000021035579059369113
0.3350863213054278,-0.5294147908303942,0.00028142144195032,1.0342321440603386,1.05100541704468,0.00003180046426550545,-0.00009044422418235126,0.8656152990797564,0.9975405530191871,0.9953888324385396,1.6936324183288197e-7,0.5295052350545766,0.00013111150954303358,0.9353476213225935,0.9515937302909167,-0.00003161219159214423
0.3316866511971619,-0.5294772366631949,0.00032791393461367605,1.0358609872376516,1.0530114110791184,0.000040663265555084324,-0.00017930848463193898,0.8656643524872301,0.9968964659667637,0.9940177809196464,3.402106557893261e-7,0.5296565451478269,0.00003556560940600293,0.9341124403526595,0.9507677413012725,-0.000042354760842963164
0.3293004602826301,-0.530369326801288,0.0006648269424835117,1.036901632678192,1.054864098938648,0.000039763903267288784,-0.00021565217714414954,0.8650487379819456,0.9964239549067815,0.9935333980986424,3.3662244804985725e-7,0.5305849789784323,0.0003142671068206565,0.9324306122514461,0.9497826184505548,-0.00004251144661466184
0.3258436576770811,-0.5301867712777298,-0.000026191230485898332,1.0380773563632613,1.0556073810212832,0.000051024620495049044,-0.00022518861668578168,0.866446586690468,0.9968336439440784,0.9932624348725919,5.816507495375153e-7,0.5304119598944158,-0.00039256342873243005,0.9308875874174801,0.9479681767042267,-0.00005336255996499961
0.32359303453732274,-0.5310555618140456,0.00030871552546716494,1.039099783898986,1.0574297431077817,0.00005007363154208739,-0.0002630334801497413,0.8658374937586203,0.9963658337852845,0.9927831013403984,5.772585202390931e-7,0.5313185952941955,-0.00011837725283773525,0.9292369610366518,0.9469979601564213,-0.0000535362499610468
0.3201022838592875,-0.5308706725167677,-0.00036793910513610134,1.040257887570129,1.0581578868839412,0.00006137268782788912,-0.0002730988624307498,0.8672073376825545,0.9967661253002199,0.9925143477363632,8.906888805442607e-7,0.5311437713791985,-0.0008115665461687008,0.9277182803453307,0.9452144092843662,-0.00006446247719264835
0.31800187663073004,-0.5317168272405067,-0.0000351265001558382,1.0412624264440598,1.0599503044330132,0.000060372575435610265,-0.0003123651221233696,0.8666048153405455,0.9963030656917735,0.9920400998393005,8.855553265280469e-7,0.5320291923626301,-0.0005418568091399107,0.9260982738696993,0.944258951180767,-0.00006465576497729861
