error,0.cx,0.cy,0.rx,0.ry,1.cx,1.cy,1.rx,1.ry
9.749765689237577e-9,0.9403281205141965,0.0,1.1566415521461548,1.1577594083030638,0.059671879485803526,0.9392637930008352,0.8959709319855484,0.8967563079389261
6.973499666607097e-9,0.940328123905077,0.0,1.1566415509776342,1.1577594069045152,0.059671876094923,0.9392637966106174,0.8959709301611134,0.8967563059636348
8.455182776145875e-9,0.9403281263303973,0.0,1.1566415501418523,1.1577594059042062,0.05967187366960274,0.9392637991925067,0.89597092885619,0.8967563045508118
6.739300784097679e-10,0.940328123389761,0.0,1.1566415511552157,1.1577594071170543,0.05967187661023901,0.9392637960620347,0.8959709304383748,0.8967563062638222
7.203509122533092e-9,0.9403281236241479,0.0,1.1566415510744443,1.157759407020383,0.05967187637585221,0.9392637963115525,0.8959709303122649,0.8967563061272847
1.5691870858258739e-9,0.9403281261294634,0.0,1.1566415502110956,1.1577594059870804,0.05967187387053674,0.9392637989786011,0.8959709289643009,0.896756304667862
1.1223579565733388e-9,0.9403281255837143,0.0,1.1566415503991645,1.1577594062121714,0.059671874416285846,0.9392637983976206,0.8959709292579366,0.8967563049857775
5.918718071207252e-9,0.9403281251933683,0.0,1.1566415505336805,1.1577594063731673,0.05967187480663182,0.9392637979820755,0.8959709294679591,0.896756305213166
4.021870947390482e-9,0.940328127251845,0.0,1.1566415498243154,1.157759405524161,0.05967187274815508,0.9392638001734392,0.8959709283604128,0.8967563040140405
2.209174593259533e-9,0.9403281258530746,0.0,1.1566415503063412,1.1577594061010754,0.059671874146925506,0.9392637986843698,0.8959709291130096,0.8967563048288669
7.435310228620651e-9,0.9403281250847436,0.0,1.1566415505711134,1.157759406417969,0.059671874915256495,0.9392637978664384,0.8959709295264037,0.8967563052764431
5.4953063488571985e-9,0.9403281224988098,0.0,1.156641551462244,1.157759407484522,0.059671877501190296,0.9392637951135671,0.8959709309177438,0.8967563067828285
9.689673841073443e-9,0.9403281205875919,0.0,1.1566415521208626,1.1577594082727927,0.05967187941240826,0.9392637930789686,0.8959709319460587,0.8967563078961712
6.512444944428708e-9,0.9403281239575729,0.0,1.1566415509595442,1.157759406882864,0.05967187604242714,0.9392637966665022,0.8959709301328684,0.8967563059330544
2.0634694231080886e-9,0.9403281216926034,0.0,1.156641551740068,1.1577594078170372,0.059671878307396724,0.9392637942553153,0.8959709313515164,0.8967563072524684
1.4758920197088798e-9,0.9403281224102594,0.0,1.156641551492759,1.1577594075210442,0.05967187758974068,0.9392637950193004,0.8959709309653876,0.8967563068344118
1.0556287233232098e-9,0.9403281229235614,0.0,1.1566415513158717,1.1577594073093358,0.05967187707643875,0.939263795565739,0.8959709306892097,0.8967563065353977
7.550359781838267e-10,0.9403281232906995,0.0,1.1566415511893533,1.1577594071579118,0.0596718767093006,0.9392637959565782,0.8959709304916741,0.8967563063215286
6.181443856778657e-9,0.9403281235532942,0.0,1.1566415510988615,1.1577594070496062,0.0596718764467059,0.9392637962361249,0.8959709303503872,0.8967563061685592
4.42126477095961e-9,0.9403281214034438,0.0,1.1566415518397146,1.1577594079362992,0.059671878596556295,0.9392637939474887,0.8959709315070963,0.8967563074209126
1.028066368147229e-8,0.9403281198657678,0.0,1.1566415523696083,1.1577594085705045,0.05967188013423228,0.9392637923105465,0.89597093233443,0.8967563083166559
6.317413814294071e-10,0.9403281234412899,0.0,1.156641551137459,1.1577594070958017,0.05967187655871022,0.9392637961168899,0.8959709304106502,0.8967563062338052
6.269630425936867e-9,0.9403281236610038,0.0,1.156641551061744,1.157759407005182,0.059671876338996274,0.9392637963507877,0.895970930292435,0.8967563061058151
8.958623926025311e-9,0.940328121480483,0.0,1.1566415518131663,1.1577594079045248,0.059671878519517156,0.9392637940295011,0.8959709314656461,0.8967563073760351
3.746788990177663e-10,0.9403281245962115,0.0,1.156641550739465,1.157759406619461,0.0596718754037886,0.9392637973463687,0.8959709297892543,0.8967563055610281
5.723584939332227e-10,0.9403281245608626,0.0,1.1566415506467609,1.157759406529256,0.05967187543913753,0.9392637973087378,0.8959709299436741,0.896756305716902
1.3602739185047952e-8,0.9403281243618015,0.0,1.1566415507153587,1.1577594066113577,0.05967187563819865,0.9392637970968261,0.8959709300507773,0.8967563058328611
5.81649650666094e-9,0.9403281196308916,0.0,1.1566415523456626,1.1577594085625933,0.05967188036910859,0.9392637920605076,0.8959709325962039,0.8967563085887607
3.194944531159649e-9,0.9403281216538166,0.0,1.1566415516485489,1.1577594077282498,0.05967187834618359,0.9392637942140245,0.895970931507786,0.8967563074103451
5.573875472286716e-9,0.9403281227649896,0.0,1.1566415512656312,1.157759407269953,0.05967187723501072,0.9392637953969303,0.8959709309099286,0.896756306763053
4.267152159398435e-9,0.940328120826446,0.0,1.1566415519336666,1.157759408069494,0.05967187917355431,0.9392637933332421,0.8959709319529459,0.8967563078923138
2.3439047924789236e-9,0.940328122310523,0.0,1.1566415514222435,1.1577594074573951,0.05967187768947729,0.9392637949131252,0.8959709311544506,0.8967563070277936
5.869215030651631e-9,0.9403281231257119,0.0,1.1566415511413237,1.1577594071211752,0.059671876874288356,0.9392637957809394,0.895970930715845,0.8967563065529212
2.5235381284627323e-9,0.9403281210844519,0.0,1.156641551844756,1.1577594079630809,0.05967187891554838,0.9392637936079038,0.8959709318141279,0.8967563077420174
1.8049554351140529e-9,0.9403281219621157,0.0,1.156641551542307,1.1577594076010937,0.05967187803788459,0.9392637945422261,0.8959709313419082,0.8967563072307515
1.2909906477176492e-9,0.9403281225898629,0.0,1.156641551325981,1.157759407342183,0.059671877410137374,0.9392637952104982,0.895970931004154,0.8967563068650696
5.7981036083454285e-9,0.9403281230388578,0.0,1.1566415511712542,1.1577594071569979,0.05967187696114248,0.9392637956884784,0.8959709307625761,0.8967563066035164
2.5744003595562504e-9,0.9403281210223297,0.0,1.1566415518661635,1.1577594079887028,0.05967187897767059,0.9392637935417714,0.8959709318475522,0.8967563077782055
2.852994535063047e-9,0.9403281219176829,0.0,1.1566415515576187,1.1577594076194198,0.05967187808231737,0.939263794494925,0.8959709313658148,0.8967563072566349
7.750420499830213e-9,0.9403281229099286,0.0,1.156641551215684,1.1577594072101738,0.05967187709007162,0.9392637955512262,0.8959709308319453,0.8967563066786215
