error,0.cx,0.cy,0.rx,0.ry,0.t,1.cx,1.cy,1.rx,1.ry,1.t,2.cx,2.cy,2.rx,2.ry,2.t
1.0695176185754143,0.7319754427924579,-2.1575408875986393e-16,1.2448120381919545,0.9798569195408114,4.8268551130929626e-17,-1.5088966066610663,1.0407479831736694e-16,1.97886101672388,2.178313681735663,-3.664600361442153e-17,2.2769211638686104,1.2002706758532478e-16,2.8997542067333413,2.8817259204197674,2.976941513813048e-17
1.0772991462063355,0.6827210161034423,-2.4436245115958445e-16,1.246242157931499,1.0199126841272201,5.322917747125455e-17,-1.518699045468917,1.1132222253109053e-16,1.9540465222006171,2.1753244842437023,-4.4754196153062587e-17,2.3359780293654766,1.4027090641084602e-16,2.9551493094105465,2.870365538063012,4.4216009064908353e-17
1.086316929526308,0.6418989784442336,-2.8420558298991397e-16,1.2478335206899973,1.0629551857564494,5.852109044762479e-17,-1.5348565184725307,1.2845868865896297e-16,1.9233132040058845,2.171018963587002,-4.9268559928581727e-17,2.392957540028299,1.643503371425381e-16,3.0140437555526853,2.8583344262034456,4.5052537754598434e-17
1.0997146596722172,0.576745506450524,-3.103064849192635e-16,1.214831974320194,1.0416251734598774,5.77141358712058e-17,-1.5169912985129914,1.3076363704816903e-16,1.9392872767412455,2.177069928056738,-5.580671106773948e-17,2.4402457920624694,1.88426970535349e-16,3.0702001245886428,2.8616706658273614,3.276648651999182e-17
1.0799332753292465,0.6438308921536786,-3.5285295477474295e-16,1.2293193815776122,1.0752166596386992,6.797089995700751e-17,-1.5740353899073694,1.5348104254163129e-16,1.9078829449635792,2.1733768017710333,-6.822120235481108e-17,2.4302044977536927,2.11138496312314e-16,3.1127628609018205,2.8522532497135913,3.2085879900407097e-17
1.0901510190311094,0.5784352715689508,-3.865164680495739e-16,1.1963019516590494,1.0563281255105874,6.798843000906366e-17,-1.5557067624484107,1.6215534082955164e-16,1.9238621492214254,2.1789970968974366,-7.790270189795595e-17,2.477271490879462,2.3430458588538424e-16,3.168376058377663,2.855091092925684,3.824696639118702e-17
1.0883332345911942,0.5512669703023146,-4.486923014120367e-16,1.1980451485960395,1.101598804409094,7.34086547175186e-17,-1.5792815910747913,1.924914928886721e-16,1.8861456764724611,2.173839813749911,-6.657325093211332e-17,2.5280146207724785,2.682561043203879e-16,3.234328736821341,2.8422778462780514,4.7108104754134e-17
1.0935109285979583,0.5316648548733309,-5.059487238540493e-16,1.200465903225977,1.1507187433942627,7.414108687510742e-17,-1.6074271024635964,2.1394951662950887e-16,1.8447367106578505,2.1669791080603575,-7.617586595427328e-17,2.5757622475902675,3.0712284005293516e-16,3.297715375882649,2.8284873609700565,4.587002857561341e-17
1.0996454042521264,0.4720063740610909,-5.463238301607859e-16,1.1602141265338373,1.130376017847554,7.310361809339563e-17,-1.5922637695060822,2.257271969909934e-16,1.8593520019385537,2.172169874861492,-6.224758616930132e-17,2.6202573954449933,3.3900808977018205e-16,3.3601310443509678,2.8327866456454105,5.2336660853666637e-17
1.0959530469246692,0.4635174726698413,-6.089992996421569e-16,1.162567175980823,1.1783672995378975,8.793777190564797e-17,-1.626477760914758,2.5697039629995037e-16,1.8132610022421816,2.1647474196594856,-8.03482388126409e-17,2.6629602882449186,3.7616759266198647e-16,3.4261363267436877,2.819328039308138,7.160541751461213e-17
1.105331817174464,0.4073075886142835,-6.608009802705976e-16,1.1189572093789695,1.1577465623290808,9.227329544288026e-17,-1.6124338600690313,2.666759455126148e-16,1.8273170388569409,2.1696825879778747,-7.008445770175255e-17,2.7051262714547497,4.1628844574849094e-16,3.491741846144036,2.8241573494652337,6.248862192657287e-17
1.0955633329819368,0.40703603664388577,-7.259954915377899e-16,1.121561936679951,1.2053996678709291,1.0419563324657798e-16,-1.6504585549820772,2.997623822580867e-16,1.7784815477538878,2.1617759836623716,-8.497142934330428e-17,2.743422518338193,4.507453138629148e-16,3.558065408840962,2.8106965564895163,7.443001435550457e-17
1.1068271490797692,0.3535270248448265,-7.812040055404273e-16,1.0753119498149175,1.1856676153521195,1.088804010800048e-16,-1.637219167836425,3.1495900911103873e-16,1.7919935975593033,2.1663148690536524,-8.61421385563826e-17,2.7836921429916,4.879662754948141e-16,3.625786493504875,2.8156679064165857,9.053192150435321e-17
1.0932845660463677,0.3590885893655874,-8.617022756343248e-16,1.078509890547273,1.233843880020976,9.9611939942677e-17,-1.6774206137006016,3.495755454964598e-16,1.7416490950537398,2.157977166302622,-1.091633696645026e-16,2.818332024335016,5.346571051790227e-16,3.691177294254113,2.8017959056333335,1.0359628067746279e-16
1.105315907135677,0.30763038397696524,-9.471791271960581e-16,1.0301598671114442,1.2158227742795633,9.915466429851841e-17,-1.6646557408844156,3.753006927008263e-16,1.7547048367750664,2.1620564422805306,-1.4169607069844648e-16,2.857025356907452,5.945002646652213e-16,3.7602575861161727,2.8065900616201676,9.799309708888698e-17
1.0897947708275642,0.31722443999987554,-1.2321008383117894e-15,1.0343678805222938,1.2651263654182794,4.673535423371184e-17,-1.705878902058283,4.643078490955485e-16,1.7036472040803148,2.1533498980152865,-2.8537030306199953e-16,2.888654462058409,7.90402707370749e-16,3.8241288428964193,2.791938691830235,-8.900806566084747e-17
1.0877192982456139,0.2672688324807902,-1.949106252700455e-15,0.9843784871644233,1.2493244904158514,-1.2471919561570178e-16,-1.6932385690507934,6.044535175504979e-16,1.7164059012779802,2.1569678202075275,-4.695477528865729e-16,2.9259697365700053,1.3686214370955505e-15,3.8940226683016266,2.796308671851869,-8.644918071192791e-16
1.0877192982456139,0.1817118443948172,-1.9917094432984825e-15,0.9843784871644233,1.2493244904158514,-1.2471919561570178e-16,-1.6710917909112928,5.711876893985502e-16,1.7164059012779802,2.1569678202075275,-4.695477528865729e-16,2.9893799465164776,1.4444904558455256e-15,3.8940226683016266,2.796308671851869,-8.644918071192791e-16
1.1558969263284704,0.09568230753529985,-2.0299191908830728e-15,0.9843784871644233,1.2493244904158514,-1.2471919561570178e-16,-1.6471782122267402,5.35257721058423e-16,1.7164059012779802,2.1569678202075275,-4.695477528865729e-16,3.0514959046914423,1.5186301717702433e-15,3.8940226683016266,2.796308671851869,-8.644918071192791e-16
1.1359067977019732,0.11893980407510299,-2.484114155739399e-15,1.0180488374825893,1.2526018723377752,-2.6818326563753954e-16,-1.7300255715023432,6.645272262915366e-16,1.716364330123945,2.1568493320857733,-4.696701782626256e-16,3.111085767427242,1.8435629964196134e-15,3.858538939851611,2.7949358125275574,-1.45928904893109e-15
1.106184078277165,0.15385476046313518,-2.161467030898425e-15,1.068385023392538,1.2867853110964727,-1.1368488806999767e-16,-1.799989359834936,6.327958220201264e-16,1.6845342673125527,2.150522505879475,-4.0028006863354407e-16,3.1461345993718024,1.5549823624503103e-15,3.832155739165605,2.784498281767798,-9.553498404604578e-16
1.0939465607060948,0.131564652637243,-2.075937171343227e-15,1.1289681489903811,1.3370732442473705,-6.572522813089848e-17,-1.8197746880536352,6.255265736773742e-16,1.6471112197417455,2.141896349527103,-3.0663144553794994e-16,3.188210035416394,1.474613377037096e-15,3.791796185123399,2.7679211372850006,-7.351847950377771e-16
1.0708947509344888,0.05760512284185032,-2.361069805932588e-15,1.1678880175472275,1.358920000651247,-8.740052731821501e-17,-1.7686710728571577,7.110487250172124e-16,1.6798510338618953,2.141043372621289,-3.3272242352213755e-16,3.211065950015309,1.687568677802247e-15,3.777630375650616,2.758027891060767,-9.52263487806715e-16
1.055490775228318,-0.012199874610420769,-2.653687031036591e-15,1.2066383462466566,1.3866639551015214,-9.447074368900877e-17,-1.7188812864278322,7.878231540194253e-16,1.7122654201103582,2.139493023480214,-3.6862488629292574e-16,3.231081161038255,1.903554112946669e-15,3.7622691764121847,2.745561574111136,-1.2080971950663284e-15
1.0397772907028406,-0.02899518258365718,-2.6590447936714946e-15,1.2817441955781228,1.450592286168812,-8.959809945849998e-17,-1.7048090842329537,7.99628950303133e-16,1.7033546176266943,2.1288764253632295,-3.4993101893765143e-16,3.233804266816613,1.8954362680023614e-15,3.749756869707871,2.721547188340978,-1.1052584003371264e-15
1.0259876011965612,-0.043196128273723634,-2.909501664453457e-15,1.2820097543542535,1.4598371760082312,-9.552556702928547e-17,-1.697209378533944,9.1205243929959e-16,1.7720737727199987,2.1806545715970986,-4.029329603196426e-16,3.2404055068076696,2.0328313201389583e-15,3.71884329862417,2.676117205982596,-1.251963883672763e-15
1.00375802234173,-0.055140650683922474,-2.9251693951347444e-15,1.341969566371973,1.5110846090025758,-1.0860927958998547e-16,-1.7151496835686812,9.074869475750418e-16,1.7383696801413289,2.1705454360575867,-3.6975083772687525e-16,3.2702903342526057,2.0531326446114716e-15,3.682505607451115,2.656398945843228,-1.292831476040811e-15
0.99383620171606,-0.06742054954129673,-3.1640352003366997e-15,1.3422464995340497,1.5229201139768058,-1.1219499400105138e-16,-1.7110448921472428,1.0169727796019064e-15,1.801965960207167,2.219425063079002,-4.33105857995372e-16,3.2784654416885415,2.18524610323891e-15,3.6495105767479883,2.609726776759639,-1.4247604139024154e-15
