error,0.cx,0.cy,0.r,1.cx,1.cy,1.rx,1.ry
0.38586693663200566,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.049963376120398945,0.0,0.0,1.0,1.1358223038394144,0.0,0.7742178233285193,0.8391695990798576
0.015583073985471041,0.0,0.0,1.0,1.119253316787742,0.0,0.752382587104997,0.8100775373226101
0.011539832390922322,0.0,0.0,1.0,1.1139688455007504,0.0,0.745599979876064,0.8010507324011303
0.004087583693177632,0.0,0.0,1.0,1.1062880853506702,0.0,0.7506458902743911,0.8019294018496524
0.0037348084680495497,0.0,0.0,1.0,1.104887972142103,0.0,0.7488715030887967,0.7995662321549453
0.0011961054153777073,0.0,0.0,1.0,1.102395274736787,0.0,0.7504916920769884,0.799864016700552
0.0009323682844092351,0.0,0.0,1.0,1.1015962435082438,0.0,0.7510092988991579,0.7999602450688312
0.00037938303255471983,0.0,0.0,1.0,1.1012758919761505,0.0,0.7506049123674509,0.7994215380758993
0.0002576096197451916,0.0,0.0,1.0,1.1010223852199403,0.0,0.7507689431999457,0.7994522685363055
0.00012023629475563236,0.0,0.0,1.0,1.1009338279055265,0.0,0.7506572236846395,0.7993034448475924
0.00007015811583074849,0.0,0.0,1.0,1.1008534781273032,0.0,0.750709194939611,0.7993132035567875
0.00003811677014720072,0.0,0.0,1.0,1.1008293566671785,0.0,0.750678769806467,0.7992726739427571
0.0000187643444763963,0.0,0.0,1.0,1.1008038838395076,0.0,0.7506952440765221,0.7992757694076867
0.00001209076398234199,0.0,0.0,1.0,1.1007974320987737,0.0,0.7506871067017706,0.7992649295473196
4.898717367946004e-6,0.0,0.0,1.0,1.100789351963505,0.0,0.7506923322526919,0.79926591160575
3.837774758486123e-6,0.0,0.0,1.0,1.1007876676192039,0.0,0.7506902078725727,0.7992630817029657
1.2358698787129363e-6,0.0,0.0,1.0,1.100785102865936,0.0,0.750691866520241,0.7992633934372247
1.2189697257414256e-6,0.0,0.0,1.0,1.1007846779308315,0.0,0.7506913305727079,0.7992626794974602
3.881868117783238e-7,0.0,0.0,1.0,1.1007838633026688,0.0,0.7506918573977687,0.799262778513191
2.714713619456077e-7,0.0,0.0,1.0,1.1007836038803094,0.0,0.7506920251676253,0.7992628100453212
1.2291832915400924e-7,0.0,0.0,1.0,1.1007835105389112,0.0,0.750691907441341,0.7992626532212364
7.415112421305103e-8,0.0,0.0,1.0,1.1007834283934987,0.0,0.7506919605652081,0.7992626632058227
3.895225886285658e-8,0.0,0.0,1.0,1.1007834028977315,0.0,0.7506919284088288,0.799262620370064
1.9914692728217886e-8,0.0,0.0,1.0,1.1007833768662236,0.0,0.750691945243539,0.7992626235341359
1.2353061157321932e-8,0.0,0.0,1.0,1.1007833700188507,0.0,0.7506919366073327,0.7992626120297794
5.2291055929742924e-9,0.0,0.0,1.0,1.1007833617633909,0.0,0.7506919419461809,0.7992626130332124
3.920375912791485e-9,0.0,0.0,1.0,1.1007833599654402,0.0,0.7506919396785269,0.7992626100124531
1.330327403792353e-9,0.0,0.0,1.0,1.1007833573454817,0.0,0.7506919413728673,0.7992626103309033
1.2450173669797948e-9,0.0,0.0,1.0,1.1007833568880683,0.0,0.7506919407959575,0.7992626095623973
3.9648062610808665e-10,0.0,0.0,1.0,1.1007833560560323,0.0,0.7506919413340394,0.7992626096635294
2.978060575919983e-10,0.0,0.0,1.0,1.1007833557910671,0.0,0.7506919415053936,0.7992626096957353
1.2549186689803093e-10,0.0,0.0,1.0,1.1007833556886708,0.0,0.7506919413762471,0.7992626095236981
8.192810319052057e-11,0.0,0.0,1.0,1.1007833556048054,0.0,0.7506919414304831,0.7992626095338917
3.9743625057653276e-11,0.0,0.0,1.0,1.1007833555766358,0.0,0.7506919413949542,0.7992626094865634
2.2214341477422295e-11,0.0,0.0,1.0,1.1007833555500754,0.0,0.7506919414121309,0.7992626094897917
1.2606166110984418e-11,0.0,0.0,1.0,1.1007833555424373,0.0,0.7506919414024974,0.7992626094769588
5.902917044053879e-12,0.0,0.0,1.0,1.1007833555340127,0.0,0.7506919414079456,0.7992626094779828
4.0041303606130896e-12,0.0,0.0,1.0,1.100783355531983,0.0,0.7506919414053858,0.7992626094745727
1.5344947534856601e-12,0.0,0.0,1.0,1.1007833555293072,0.0,0.7506919414071163,0.799262609474898
1.2576328867197617e-12,0.0,0.0,1.0,1.1007833555287796,0.0,0.7506919414064508,0.7992626094740116
4.103661854770735e-13,0.0,0.0,1.0,1.1007833555279392,0.0,0.7506919414069944,0.7992626094741138
3.560485239972877e-13,0.0,0.0,1.0,1.100783355527665,0.0,0.7506919414071717,0.7992626094741471
1.3250511798901243e-13,0.0,0.0,1.0,1.1007833555275426,0.0,0.7506919414070172,0.7992626094739413
9.867107131356079e-14,0.0,0.0,1.0,1.100783355527454,0.0,0.7506919414070745,0.7992626094739521
3.164135620181696e-14,0.0,0.0,1.0,1.10078335552742,0.0,0.7506919414070318,0.7992626094738952
3.019806626980426e-14,0.0,0.0,1.0,1.100783355527399,0.0,0.7506919414070454,0.7992626094738977
1.2934098236883074e-14,0.0,0.0,1.0,1.1007833555273885,0.0,0.7506919414070323,0.7992626094738803
7.355227538141662e-15,0.0,0.0,1.0,1.1007833555273798,0.0,0.7506919414070379,0.7992626094738813
7.93809462606987e-15,0.0,0.0,1.0,1.100783355527375,0.0,0.7506919414070411,0.7992626094738818
2.886579864025407e-15,0.0,0.0,1.0,1.1007833555273723,0.0,0.7506919414070377,0.7992626094738773
1.8318679906315083e-15,0.0,0.0,1.0,1.1007833555273703,0.0,0.7506919414070389,0.7992626094738775
1.1934897514720433e-15,0.0,0.0,1.0,1.1007833555273696,0.0,0.7506919414070381,0.7992626094738764
5.828670879282072e-16,0.0,0.0,1.0,1.1007833555273687,0.0,0.7506919414070387,0.7992626094738765
4.163336342344337e-16,0.0,0.0,1.0,1.1007833555273683,0.0,0.7506919414070389,0.7992626094738765
2.220446049250313e-16,0.0,0.0,1.0,1.100783355527368,0.0,0.7506919414070387,0.7992626094738763
1.942890293094024e-16,0.0,0.0,1.0,1.100783355527368,0.0,0.7506919414070388,0.7992626094738764
2.7755575615628914e-17,0.0,0.0,1.0,1.1007833555273678,0.0,0.7506919414070389,0.7992626094738764
2.7755575615628914e-17,0.0,0.0,1.0,1.1007833555273678,0.0,0.7506919414070389,0.7992626094738764
