error,0.cx,0.cy,0.r,1.cx,1.cy,1.rx,1.ry
0.3858669366320058,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.03439307643397188,0.0,0.0,1.0,1.1169450948020658,0.0,0.7708812198302522,0.8293537672312852
0.012546714820053484,0.0,0.0,1.0,1.1031245610938607,0.0,0.7572217092307155,0.8098741319569519
0.0044429498845489634,0.0,0.0,1.0,1.1054971170095105,0.0,0.7495592775503627,0.8038403145129519
0.0032113840691253004,0.0,0.0,1.0,1.1036847954548588,0.0,0.7478016356462888,0.8013383832843565
0.0011052804811935157,0.0,0.0,1.0,1.1015219924265893,0.0,0.749165946084875,0.8015858750565619
0.0009488710869278161,0.0,0.0,1.0,1.1010696815637437,0.0,0.748729424715966,0.8009640095238407
0.00030177877013645715,0.0,0.0,1.0,1.1004301760015915,0.0,0.7491316658851637,0.8010379198419824
0.00024108841741479758,0.0,0.0,1.0,1.100226745013188,0.0,0.7492595185873997,0.8010614696231985
0.00007917744613075706,0.0,0.0,1.0,1.1001279879859551,0.0,0.7491643549207336,0.8009258597189649
0.00006625302632518038,0.0,0.0,1.0,1.1000746103361474,0.0,0.7491978919957143,0.8009320479826352
0.00002055346232138211,0.0,0.0,1.0,1.1000474674118852,0.0,0.7491717418248292,0.8008947828935651
0.000018289848268043807,0.0,0.0,1.0,1.100033611002646,0.0,0.7491804471077892,0.8008963899567744
5.453688642631516e-6,0.0,0.0,1.0,1.1000261176341655,0.0,0.7491732281927777,0.8008861026555414
4.880534379275714e-6,0.0,0.0,1.0,1.1000238832349436,0.0,0.7491710756539617,0.800883035184687
1.5499699851928561e-6,0.0,0.0,1.0,1.100020592937861,0.0,0.7491731427381388,0.8008834168419179
1.1674012390661126e-6,0.0,0.0,1.0,1.100019547997526,0.0,0.7491737992049068,0.8008835380505397
4.1125495925387057e-7,0.0,0.0,1.0,1.1000190697059486,0.0,0.7491733384397843,0.8008828814371932
3.187519586056453e-7,0.0,0.0,1.0,1.1000187924508735,0.0,0.7491735126205153,0.8008829135978335
1.0849368714538343e-7,0.0,0.0,1.0,1.1000186618561179,0.0,0.7491733868113791,0.8008827343135058
8.73041521576301e-8,0.0,0.0,1.0,1.1000185887131015,0.0,0.7491734327622025,0.8008827427978621
2.8398886409153334e-8,0.0,0.0,1.0,1.1000185529440147,0.0,0.749173398303876,0.8008826936930177
2.4006007237620253e-8,0.0,0.0,1.0,1.1000185337983823,0.0,0.7491734103317842,0.8008826959138511
7.353551878530595e-9,0.0,0.0,1.0,1.1000185239629623,0.0,0.7491734008567844,0.800882682411501
6.633405852385366e-9,0.0,0.0,1.0,1.1000185190054297,0.0,0.7491734039712673,0.8008826829865593
1.977935065733405e-9,0.0,0.0,1.0,1.1000185162876794,0.0,0.7491734013531094,0.8008826792555528
1.7379431505037957e-9,0.0,0.0,1.0,1.1000185154773063,0.0,0.7491734005724325,0.8008826781430491
5.519335266601644e-10,0.0,0.0,1.0,1.10001851430564,0.0,0.7491734013085114,0.8008826782789588
4.2640399544602303e-10,0.0,0.0,1.0,1.1000185139335439,0.0,0.7491734015422743,0.8008826783221208
1.4569803696851125e-10,0.0,0.0,1.0,1.1000185137588434,0.0,0.7491734013739757,0.8008826780822869
1.1674244904114062e-10,0.0,0.0,1.0,1.1000185136606184,0.0,0.7491734014356839,0.8008826780936806
3.8176239947063095e-11,0.0,0.0,1.0,1.1000185136127882,0.0,0.7491734013896065,0.800882678028018
3.208847076940913e-11,0.0,0.0,1.0,1.100018513587051,0.0,0.7491734014057755,0.8008826780310034
9.893919017400776e-12,0.0,0.0,1.0,1.1000185135739042,0.0,0.7491734013931104,0.8008826780129551
8.863326739216859e-12,0.0,0.0,1.0,1.100018513567234,0.0,0.7491734013973008,0.8008826780137288
2.6379176620849876e-12,0.0,0.0,1.0,1.1000185135636027,0.0,0.7491734013938025,0.8008826780087436
2.3476220967211248e-12,0.0,0.0,1.0,1.100018513562522,0.0,0.7491734013927613,0.8008826780072599
7.515099653687685e-13,0.0,0.0,1.0,1.1000185135609393,0.0,0.7491734013937557,0.8008826780074435
5.672406988566081e-13,0.0,0.0,1.0,1.1000185135604326,0.0,0.749173401394074,0.8008826780075022
2.0078383400345956e-13,0.0,0.0,1.0,1.1000185135602,0.0,0.74917340139385,0.8008826780071832
1.6028844918025698e-13,0.0,0.0,1.0,1.1000185135600646,0.0,0.7491734013939351,0.8008826780071988
5.334621633323877e-14,0.0,0.0,1.0,1.100018513559999,0.0,0.7491734013938718,0.8008826780071087
3.802513859341161e-14,0.0,0.0,1.0,1.100018513559963,0.0,0.7491734013938944,0.8008826780071129
1.6153745008296028e-14,0.0,0.0,1.0,1.1000185135599474,0.0,0.7491734013938794,0.8008826780070915
5.523359547510154e-15,0.0,0.0,1.0,1.1000185135599407,0.0,0.7491734013938731,0.8008826780070823
3.858025010572419e-15,0.0,0.0,1.0,1.100018513559937,0.0,0.7491734013938754,0.8008826780070828
2.525757381022231e-15,0.0,0.0,1.0,1.1000185135599354,0.0,0.7491734013938739,0.8008826780070806
1.3322676295501878e-15,0.0,0.0,1.0,1.1000185135599336,0.0,0.749173401393875,0.8008826780070808
1.0824674490095276e-15,0.0,0.0,1.0,1.1000185135599327,0.0,0.7491734013938756,0.8008826780070809
4.718447854656915e-16,0.0,0.0,1.0,1.1000185135599323,0.0,0.7491734013938751,0.8008826780070804
4.996003610813204e-16,0.0,0.0,1.0,1.100018513559932,0.0,0.7491734013938753,0.8008826780070804
4.163336342344337e-16,0.0,0.0,1.0,1.1000185135599316,0.0,0.7491734013938756,0.8008826780070804
1.1102230246251565e-16,0.0,0.0,1.0,1.1000185135599316,0.0,0.7491734013938753,0.8008826780070801
1.1102230246251565e-16,0.0,0.0,1.0,1.1000185135599316,0.0,0.7491734013938753,0.8008826780070801
